t, a, b, c, d, e, f
0.0000e+00, 13, -17, -5, 7, -31, -38
5.0000e-05, 13, -17, -5, 7, -31, -38
1.0000e-04, 13, -17, -5, 7, -31, -38
1.5000e-04, 12, -17, -3, 9, -31, -37
2.0000e-04, 12, -17, -3, 9, -31, -37
2.5000e-04, 11, -15, -3, 11, -30, -36
3.0000e-04, 11, -15, -3, 11, -30, -36
3.5000e-04, 13, -15, -3, 12, -26, -35
4.0000e-04, 13, -15, -3, 12, -26, -35
4.5000e-04, 14, -16, -3, 13, -26, -33
5.0000e-04, 14, -16, -3, 13, -26, -33
5.5000e-04, 9, -12, -4, 17, -25, -34
6.0000e-04, 9, -12, -4, 17, -25, -34
6.5000e-04, 12, -13, -2, 19, -23, -32
7.0000e-04, 12, -13, -2, 19, -23, -32
7.5000e-04, 15, -10, -3, 23, -23, -33
8.0000e-04, 15, -10, -3, 23, -23, -33
8.5000e-04, 17, -9, -2, 24, -19, -31
9.0000e-04, 17, -9, -2, 24, -19, -31
9.5000e-04, 16, -4, 0, 24, -20, -30
1.0000e-03, 16, -4, 0, 24, -20, -30
1.0500e-03, 18, -5, 1, 24, -16, -30
1.1000e-03, 18, -5, 1, 24, -16, -30
1.1500e-03, 18, -3, 1, 24, -14, -28
1.2000e-03, 18, -3, 1, 24, -14, -28
1.2500e-03, 22, -2, 2, 29, -12, -27
1.3000e-03, 22, -2, 2, 29, -12, -27
1.3500e-03, 22, 2, 5, 28, -10, -27
1.4000e-03, 22, 2, 5, 28, -10, -27
1.4500e-03, 18, 4, 6, 28, -8, -27
1.5000e-03, 18, 4, 6, 28, -8, -27
1.5500e-03, 21, 5, 6, 29, -8, -28
1.6000e-03, 21, 5, 6, 29, -8, -28
1.6500e-03, 20, 9, 8, 30, -2, -31
1.7000e-03, 20, 9, 8, 30, -2, -31
1.7500e-03, 15, 11, 10, 29, 0, -31
1.8000e-03, 15, 11, 10, 29, 0, -31
1.8500e-03, 15, 12, 8, 31, -2, -29
1.9000e-03, 15, 12, 8, 31, -2, -29
1.9500e-03, 13, 14, 10, 30, 2, -34
2.0000e-03, 13, 14, 10, 30, 2, -34
2.0500e-03, 11, 15, 13, 29, 8, -32
2.1000e-03, 11, 15, 13, 29, 8, -32
2.1500e-03, 9, 16, 13, 30, 10, -32
2.2000e-03, 9, 16, 13, 30, 10, -32
2.2500e-03, 8, 19, 14, 28, 9, -32
2.3000e-03, 8, 19, 14, 28, 9, -32
2.3500e-03, 6, 19, 17, 27, 13, -32
2.4000e-03, 6, 19, 17, 27, 13, -32
2.4500e-03, 8, 19, 15, 28, 15, -31
2.5000e-03, -4, 19, 15, 28, 15, -31
2.5500e-03, 3, 20, 18, 26, 16, -27
2.6000e-03, 3, 20, 18, 26, 16, -27
2.6500e-03, 1, 19, 18, 26, 17, -27
2.7000e-03, 1, 19, 18, 26, 17, -27
2.7500e-03, 3, 21, 17, 23, 21, -20
2.8000e-03, 3, 21, 17, 23, 21, -20
2.8500e-03, 2, 21, 18, 24, 20, -20
2.9000e-03, 2, 21, 18, 24, 20, -20
2.9500e-03, 2, 20, 19, 20, 23, -14
3.0000e-03, 2, 20, 19, 20, 23, -14
3.0500e-03, 2, 21, 18, 20, 24, -12
3.1000e-03, 2, 21, 18, 20, 24, -12
3.1500e-03, 4, 18, 20, 19, 26, -8
3.2000e-03, 4, 18, 20, 19, 26, -8
3.2500e-03, 6, 22, 19, 19, 24, -8
3.3000e-03, 6, 22, 19, 19, 24, -8
3.3500e-03, 7, 21, 18, 20, 26, -5
3.4000e-03, 7, 21, 18, 20, 26, -5
3.4500e-03, 6, 18, 18, 18, 26, -2
3.5000e-03, 6, 18, 18, 18, 26, -2
3.5500e-03, 10, 19, 18, 16, 26, 1
3.6000e-03, 10, 19, 18, 16, 26, 1
3.6500e-03, 10, 22, 17, 19, 25, 4
3.7000e-03, 10, 22, 17, 19, 25, 4
3.7500e-03, 12, 22, 16, 15, 25, 6
3.8000e-03, 12, 22, 16, 15, 25, 6
3.8500e-03, 12, 23, 15, 16, 22, 9
3.9000e-03, 12, 23, 15, 16, 22, 9
3.9500e-03, 10, 22, 14, 13, 21, 10
4.0000e-03, 10, 22, 14, 13, 21, 10
4.0500e-03, 13, 23, 13, 14, 25, 13
4.1000e-03, 13, 23, 13, 14, 25, 13
4.1500e-03, 13, 20, 12, 11, 21, 15
4.2000e-03, 13, 20, 12, 11, 21, 15
4.2500e-03, 13, 19, 9, 11, 20, 16
4.3000e-03, 13, 19, 9, 11, 20, 16
4.3500e-03, 14, 18, 6, 14, 21, 17
4.4000e-03, 14, 18, 6, 14, 21, 17
4.4500e-03, 8, 20, 6, 10, 20, 20
4.5000e-03, 8, 20, 6, 10, 20, 20
4.5500e-03, 9, 14, 3, 12, 19, 22
4.6000e-03, 9, 14, 3, 12, 19, 22
4.6500e-03, 6, 17, 2, 10, 16, 25
4.7000e-03, 6, 17, 2, 10, 16, 25
4.7500e-03, 3, 16, 1, 8, 15, 29
4.8000e-03, 3, 16, 1, 8, 15, 29
4.8500e-03, 1, 14, -1, 9, 14, 33
4.9000e-03, 1, 14, -1, 9, 14, 33
4.9500e-03, 2, 11, -4, 8, 12, 37
5.0000e-03, 2, 11, -4, 8, 12, 37
5.0500e-03, 0, 11, -6, 5, 11, 43
5.1000e-03, 0, 11, -6, 5, 11, 43
5.1500e-03, 0, 7, -6, 5, 8, 45
5.2000e-03, 0, 7, -6, 5, 8, 56
5.2500e-03, -4, 7, -8, 4, 8, 51
5.3000e-03, -4, 7, -8, 4, 8, 51
5.3500e-03, -8, 7, -9, 1, 7, 58
5.4000e-03, -8, 7, -9, 1, 7, 58
5.4500e-03, -6, 6, -10, 2, 5, 64
5.5000e-03, -6, 6, -10, 2, 5, 64
5.5500e-03, -7, 5, -11, 0, 5, 70
5.6000e-03, -7, 5, -11, 0, 5, 70
5.6500e-03, -7, 4, -13, -1, 6, 75
5.7000e-03, -7, 4, -13, -1, 6, 75
5.7500e-03, -10, 3, -13, -2, 5, 81
5.8000e-03, -10, 3, -13, -2, 5, 81
5.8500e-03, -10, 3, -13, -2, 5, 84
5.9000e-03, -10, 3, -13, -2, 5, 84
5.9500e-03, -7, 1, -14, -4, 2, 88
6.0000e-03, -7, 1, -14, -4, 2, 88
6.0500e-03, -12, 0, -15, -5, 5, 91
6.1000e-03, -12, 0, -15, -5, 5, 91
6.1500e-03, -10, -2, -14, -7, 4, 94
6.2000e-03, -10, -2, -14, -7, 4, 94
6.2500e-03, -10, -5, -14, -7, 5, 93
6.3000e-03, -10, -5, -14, -7, 5, 93
6.3500e-03, -12, -5, -14, -14, 6, 96
6.4000e-03, -12, -5, -14, -14, 6, 96
6.4500e-03, -10, -7, -13, -10, 7, 97
6.5000e-03, -10, -7, -13, -10, 7, 97
6.5500e-03, -12, -8, -11, -10, 7, 100
6.6000e-03, -12, -8, -11, -10, 7, 100
6.6500e-03, -11, -10, -10, -12, 7, 99
6.7000e-03, -11, -10, -10, -12, 7, 99
6.7500e-03, -16, -10, -9, -12, 8, 97
6.8000e-03, -16, -10, -9, -12, 8, 97
6.8500e-03, -14, -12, -9, -14, 10, 94
6.9000e-03, -14, -12, -9, -14, 10, 94
6.9500e-03, -16, -12, -8, -15, 10, 94
7.0000e-03, -16, -12, -8, -15, 10, 94
7.0500e-03, -18, -15, -5, -16, 10, 89
7.1000e-03, -18, -15, -5, -16, 10, 89
7.1500e-03, -17, -14, -5, -18, 13, 89
7.2000e-03, -17, -14, -5, -18, 13, 89
7.2500e-03, -17, -14, -4, -18, 12, 83
7.3000e-03, -17, -14, -4, -18, 12, 83
7.3500e-03, -22, -14, -2, -19, 9, 82
7.4000e-03, -22, -14, -2, -19, 9, 82
7.4500e-03, -21, -13, 0, -20, 11, 79
7.5000e-03, -21, -13, 0, -20, 11, 79
7.5500e-03, -20, -13, 1, -21, 9, 74
7.6000e-03, -20, -13, 1, -21, 9, 74
7.6500e-03, -19, -13, 3, -20, 13, 72
7.7000e-03, -19, -13, 3, -20, 13, 72
7.7500e-03, -20, -13, 5, -20, 13, 68
7.8000e-03, -20, -13, 5, -20, 13, 68
7.8500e-03, -19, -10, 5, -19, 10, 69
7.9000e-03, -19, -10, 5, -19, 10, 69
7.9500e-03, -15, -10, 6, -19, 13, 65
8.0000e-03, -15, -10, 6, -19, 13, 65
8.0500e-03, -12, -9, 7, -18, 13, 63
8.1000e-03, -12, -9, 7, -18, 13, 63
8.1500e-03, -16, -6, 7, -18, 9, 60
8.2000e-03, -16, -6, 7, -18, 9, 60
8.2500e-03, -12, -4, 9, -16, 11, 57
8.3000e-03, -12, -4, 9, -16, 11, 57
8.3500e-03, -9, -3, 10, -17, 14, 55
8.4000e-03, -9, -3, 10, -17, 14, 55
8.4500e-03, -8, 0, 9, -14, 13, 53
8.5000e-03, -8, 0, 9, -14, 13, 53
8.5500e-03, -7, 1, 9, -13, 14, 51
8.6000e-03, -7, 1, 9, -13, 14, 51
8.6500e-03, -5, 6, 10, -11, 14, 47
8.7000e-03, -5, 6, 10, -11, 14, 47
8.7500e-03, -6, 7, 9, -11, 13, 46
8.8000e-03, -6, 7, 9, -11, 13, 46
8.8500e-03, -6, 9, 9, -9, 13, 43
8.9000e-03, -6, 9, 9, -9, 13, 43
8.9500e-03, -3, 11, 10, -8, 12, 39
9.0000e-03, -3, 11, 10, -8, 12, 39
9.0500e-03, -2, 14, 9, -6, 13, 40
9.1000e-03, -2, 14, 9, -6, 13, 40
9.1500e-03, -2, 14, 8, -4, 10, 38
9.2000e-03, -2, 14, 8, -4, 10, 38
9.2500e-03, -2, 17, 7, -3, 10, 34
9.3000e-03, -2, 17, 7, -3, 10, 34
9.3500e-03, 0, 16, 8, -2, 7, 32
9.4000e-03, 0, 16, 8, -2, 7, 32
9.4500e-03, 1, 18, 6, 1, 6, 34
9.5000e-03, 1, 18, 6, 1, 6, 34
9.5500e-03, 2, 15, 5, 2, 5, 30
9.6000e-03, 2, 15, 5, 2, 5, 30
9.6500e-03, 4, 17, 5, 5, 2, 29
9.7000e-03, 4, 17, 5, 5, 2, 29
9.7500e-03, 6, 14, 3, 8, 2, 27
9.8000e-03, 6, 14, 3, 8, 2, 27
9.8500e-03, 8, 14, 3, 9, 0, 21
9.9000e-03, 8, 14, 3, 9, 0, 21
9.9500e-03, 9, 14, 2, 9, -4, 22
1.0000e-02, 9, 14, 2, 9, -4, 22
1.0050e-02, 13, 14, 3, 11, -6, 19
1.0100e-02, 13, 14, 3, 11, -6, 19
1.0150e-02, 18, 15, 2, 13, -8, 16
1.0200e-02, 18, 15, 2, 13, -8, 16
1.0250e-02, 19, 13, 1, 10, -15, 13
1.0300e-02, 19, 13, 1, 10, -15, 13
1.0350e-02, 21, 13, -1, 13, -18, 9
1.0400e-02, 21, 13, -1, 13, -18, 9
1.0450e-02, 22, 13, 0, 14, -17, 4
1.0500e-02, 22, 13, 0, 14, -17, 4
1.0550e-02, 22, 13, -1, 16, -18, 5
1.0600e-02, 22, 13, -1, 16, -18, 5
1.0650e-02, 26, 15, -1, 17, -21, -1
1.0700e-02, 26, 15, -1, 17, -21, -1
1.0750e-02, 25, 14, -2, 17, -21, -2
1.0800e-02, 25, 14, -2, 17, -21, -2
1.0850e-02, 28, 14, -2, 18, -23, -6
1.0900e-02, 28, 14, -2, 18, -23, -6
1.0950e-02, 27, 15, -2, 19, -26, -10
1.1000e-02, 27, 15, -2, 19, -26, -10
1.1050e-02, 27, 17, -1, 18, -28, -13
1.1100e-02, 27, 17, -1, 18, -28, -13
1.1150e-02, 27, 16, -1, 21, -27, -14
1.1200e-02, 27, 16, -1, 21, -27, -14
1.1250e-02, 26, 15, 0, 18, -29, -19
1.1300e-02, 26, 15, 0, 18, -29, -19
1.1350e-02, 28, 16, -1, 18, -25, -21
1.1400e-02, 28, 16, -1, 18, -25, -21
1.1450e-02, 26, 15, 2, 19, -27, -24
1.1500e-02, 26, 15, 2, 19, -27, -24
1.1550e-02, 24, 14, 3, 18, -27, -24
1.1600e-02, 24, 14, 3, 18, -27, -24
1.1650e-02, 23, 14, 3, 19, -24, -27
1.1700e-02, 23, 14, 3, 19, -24, -27
1.1750e-02, 23, 15, 3, 18, -25, -31
1.1800e-02, 23, 15, 3, 18, -25, -31
1.1850e-02, 20, 13, 5, 19, -22, -32
1.1900e-02, 20, 13, 5, 19, -22, -32
1.1950e-02, 21, 12, 5, 19, -23, -31
1.2000e-02, 21, 12, 5, 19, -23, -31
